Account,Organization,Program,Transaction Date,Type,Document,Description,Commit Type,Fund,Column1,Column2,Activity Date,Field,Amount,Increase/Decrease,FY,Account Category,Account Desc
101110,31200,103,6/5/2020 19:41,CHS1,F0112040,Horatio Alger Res Tuition,U,139021,,,6/5/2020 23:59,YTD,-42.27,-,2020,Revenue,UG Resid Tuition
101110,31200,103,5/18/2020 19:35,CHS1,F0111519,Horatio Alger Res Tuition,U,139021,,,5/18/2020 23:59,YTD,450.3,+,2020,Revenue,UG Resid Tuition
101110,31200,103,5/14/2020 19:32,CHS1,F0111430,Horatio Alger Res Tuition,U,139021,,,5/14/2020 23:59,YTD,-450.3,-,2020,Revenue,UG Resid Tuition
101110,31200,103,5/13/2020 10:35,R03,F0111396,realign budget  increased students,U,139021,,,5/13/2020 10:00,OBD,342,+,2020,Revenue,UG Resid Tuition
101110,31200,103,5/8/2020 19:32,CHS1,F0111244,Horatio Alger Res Tuition,U,139021,,,5/8/2020 23:59,YTD,450.3,+,2020,Revenue,UG Resid Tuition
101110,31200,103,5/6/2020 19:32,CHS1,F0111164,Horatio Alger Res Tuition,U,139021,,,5/6/2020 23:59,YTD,-450.3,-,2020,Revenue,UG Resid Tuition
101110,31200,103,5/4/2020 19:29,CHS1,F0111107,Horatio Alger Res Tuition,U,139021,,,5/4/2020 23:59,YTD,450.3,+,2020,Revenue,UG Resid Tuition
101110,31200,103,1/15/2020 19:35,CHS1,F0107938,Horatio Alger Res Tuition,U,139021,,,1/15/2020 23:59,YTD,150.1,+,2020,Revenue,UG Resid Tuition
101110,31200,103,8/27/2019 16:35,R03,F0104277,FY19-20 Budget Establishment,U,139021,,,8/27/2019 16:01,OBD,408,+,2020,Revenue,UG Resid Tuition
101110,31200,103,7/23/2019 19:40,CHS1,F0103173,Horatio Alger Res Tuition,U,139021,,,7/23/2019 23:59,YTD,150.1,+,2020,Revenue,UG Resid Tuition
101111,31230,103,6/26/2020 19:38,CHS1,F0112847,IMBA Resident Tuition,U,139020,,,6/26/2020 23:59,YTD,693.96,+,2020,Revenue,Grad Res Tuition
101111,31230,103,6/25/2020 19:41,CHS1,F0112811,IMBA Resident Tuition,U,139020,,,6/25/2020 23:59,YTD,-693.96,-,2020,Revenue,Grad Res Tuition
101111,31230,103,6/25/2020 19:41,CHS1,F0112811,IMBA Resident Tuition,U,139020,,,6/25/2020 23:59,YTD,2775.84,+,2020,Revenue,Grad Res Tuition
101111,31230,103,6/18/2020 19:38,CHS1,F0112492,IMBA Resident Tuition,U,139020,,,6/18/2020 23:59,YTD,693.96,+,2020,Revenue,Grad Res Tuition
101111,31230,103,6/15/2020 12:38,R03,F0112346,increase budget to match actuals,U,139020,,,6/15/2020 11:00,OBD,1388,+,2020,Revenue,Grad Res Tuition
101111,31230,103,6/5/2020 19:41,CHS1,F0112040,IMBA Resident Tuition,U,139020,,,6/5/2020 23:59,YTD,693.96,+,2020,Revenue,Grad Res Tuition
101111,31230,103,5/21/2020 19:35,CHS1,F0111621,IMBA Resident Tuition,U,139020,,,5/21/2020 23:59,YTD,693.96,+,2020,Revenue,Grad Res Tuition
101111,31230,103,5/19/2020 10:35,R03,F0111557,Increase revenue,U,139020,,,5/19/2020 10:00,OBD,4858,+,2020,Revenue,Grad Res Tuition
101111,31230,103,3/9/2020 19:38,CHS1,F0109613,IMBA Resident Tuition,U,139020,,,3/9/2020 23:59,YTD,-693.96,-,2020,Revenue,Grad Res Tuition
101111,31230,103,3/9/2020 19:38,CHS1,F0109613,IMBA Resident Tuition,U,139020,,,3/9/2020 23:59,YTD,693.96,+,2020,Revenue,Grad Res Tuition
101111,31230,103,3/6/2020 19:44,CHS1,F0109544,IMBA Resident Tuition,U,139020,,,3/6/2020 23:59,YTD,693.96,+,2020,Revenue,Grad Res Tuition
101111,31230,103,3/2/2020 19:38,CHS1,F0109390,IMBA Resident Tuition,U,139020,,,3/2/2020 23:59,YTD,-231.32,-,2020,Revenue,Grad Res Tuition
101111,31230,103,2/14/2020 19:35,CHS1,F0108838,IMBA Resident Tuition,U,139020,,,2/14/2020 23:59,YTD,231.32,+,2020,Revenue,Grad Res Tuition
101111,31230,103,2/12/2020 19:35,CHS1,F0108789,IMBA Resident Tuition,U,139020,,,2/12/2020 23:59,YTD,231.32,+,2020,Revenue,Grad Res Tuition
