Account,Organization,Program,Transaction Date,Type,Document,Description,Commit Type,Fund,Column1,Column2,Activity Date,Field,Amount,Increase/Decrease,FY,Account Category,Account Desc
101111,31230,103,11/17/2022 19:41,CHS1,F0140034,IMBA Resident Tuition,U,139020,,,11/17/2022 23:59,YTD,-400,-,2023,Revenue,Grad Res Tuition
101111,31230,103,11/14/2022 19:38,CHS1,F0139950,IMBA Resident Tuition,U,139020,,,11/14/2022 23:59,YTD,400,+,2023,Revenue,Grad Res Tuition
101111,31230,103,10/5/2022 8:32,CHS1,F0138738,IMBA Resident Tuition,U,139020,,,10/5/2022 23:59,YTD,400,+,2023,Revenue,Grad Res Tuition
101111,31230,103,9/9/2022 19:50,CHS1,F0138067,IMBA Resident Tuition,U,139020,,,9/9/2022 23:59,YTD,400,+,2023,Revenue,Grad Res Tuition
101111,31230,103,9/7/2022 19:53,CHS1,F0137968,IMBA Program,U,139020,,,9/7/2022 23:59,YTD,-15268.52,-,2023,Revenue,Grad Res Tuition
101111,31230,103,8/30/2022 20:02,CHS1,F0137763,IMBA Resident Tuition,U,139020,,,8/30/2022 23:59,YTD,937.83,+,2023,Revenue,Grad Res Tuition
101111,31230,103,8/17/2022 19:58,CHS1,F0137312,IMBA Resident Tuition,U,139020,,,8/17/2022 23:59,YTD,-524.34,-,2023,Revenue,Grad Res Tuition
101111,31230,103,8/17/2022 19:58,CHS1,F0137312,IMBA Resident Tuition,U,139020,,,8/17/2022 23:59,YTD,1000,+,2023,Revenue,Grad Res Tuition
101111,31230,103,8/16/2022 19:56,CHS1,F0137273,IMBA Resident Tuition,U,139020,,,8/16/2022 23:59,YTD,524.34,+,2023,Revenue,Grad Res Tuition
101111,31230,103,8/15/2022 19:54,CHS1,F0137237,IMBA Resident Tuition,U,139020,,,8/15/2022 23:59,YTD,-262.17,-,2023,Revenue,Grad Res Tuition
101111,31230,103,8/11/2022 19:51,CHS1,F0137116,IMBA Resident Tuition,U,139020,,,8/11/2022 23:59,YTD,262.17,+,2023,Revenue,Grad Res Tuition
101111,31230,103,8/9/2022 19:54,CHS1,F0137041,IMBA Resident Tuition,U,139020,,,8/9/2022 23:59,YTD,-262.17,-,2023,Revenue,Grad Res Tuition
101111,31230,103,8/3/2022 19:55,CHS1,F0136861,IMBA Program,U,139020,,,8/3/2022 23:59,YTD,-3817.13,-,2023,Revenue,Grad Res Tuition
101111,31230,103,7/19/2022 19:54,CHS1,F0136368,IMBA Program,U,139020,,,7/19/2022 23:59,YTD,-3817.13,-,2023,Revenue,Grad Res Tuition
101111,31230,103,7/18/2022 19:52,CHS1,F0136341,IMBA Program,U,139020,,,7/18/2022 23:59,YTD,3817.13,+,2023,Revenue,Grad Res Tuition
101111,31230,103,7/15/2022 19:58,CHS1,F0136296,IMBA Resident Tuition,U,139020,,,7/15/2022 23:59,YTD,400,+,2023,Revenue,Grad Res Tuition
101111,31230,103,7/15/2022 19:58,CHS1,F0136296,IMBA Program,U,139020,,,7/15/2022 23:59,YTD,3817.13,+,2023,Revenue,Grad Res Tuition
101111,31230,103,7/14/2022 20:01,CHS1,F0136267,IMBA Program,U,139020,,,7/14/2022 23:59,YTD,103062.51,+,2023,Revenue,Grad Res Tuition
101111,31230,103,7/14/2022 20:00,CHS1,F0136260,IMBA Program,U,139020,,,7/14/2022 23:59,YTD,7634.26,+,2023,Revenue,Grad Res Tuition
101111,31230,103,7/14/2022 19:53,CHS1,F0136210,IMBA Resident Tuition,U,139020,,,7/14/2022 23:59,YTD,262.17,+,2023,Revenue,Grad Res Tuition
101111,31230,103,7/7/2022 19:59,CHS1,F0135957,IMBA Resident Tuition,U,139020,,,7/7/2022 23:59,YTD,-724.81,-,2023,Revenue,Grad Res Tuition
101111,31230,103,5/17/2022 15:29,R03,J0161084,Establish IMBA FY22-23 Budget,U,139020,,,7/1/2022 0:00,OBD,61498,+,2023,Revenue,Grad Res Tuition
10111X,31230,101,10/17/2022 16:35,R03,F0139100,decr budget for scholarships,U,141068,,,10/17/2022 16:00,OBD,-1000,-,2023,Dif Tuition Revenue-Resident,Dif Tuition  Reporting - Resident
10111X,31230,101,8/11/2022 16:35,R03,F0137102,Est FY23 Bdgt BFC Diff Tuition_101,U,141069,,,8/11/2022 16:30,OBD,27438,+,2023,Dif Tuition Revenue-Resident,Dif Tuition  Reporting - Resident
10111X,31230,101,7/25/2022 14:35,R03,F0136547,Est FY23 Bdgt MSFIN Diff Tuit_101,U,141072,,,7/25/2022 14:30,OBD,208538,+,2023,Dif Tuition Revenue-Resident,Dif Tuition  Reporting - Resident
10111X,31230,101,7/25/2022 14:35,R03,F0136546,Est FY23 Bdgt MSBAN Diff Tuition101,U,141071,,,7/25/2022 14:30,OBD,605781,+,2023,Dif Tuition Revenue-Resident,Dif Tuition  Reporting - Resident
10111X,31230,101,7/25/2022 14:35,R03,F0136545,Est FY23 Bdgt OMBA Diff Tuit_101,U,141068,,,7/25/2022 14:30,OBD,2210591,+,2023,Dif Tuition Revenue-Resident,Dif Tuition  Reporting - Resident
10111X,31230,101,7/25/2022 14:35,R03,F0136543,Est FY23 Bdgt MSA Diff Tuition_101,U,125520,,,7/25/2022 14:30,OBD,163897,+,2023,Dif Tuition Revenue-Resident,Dif Tuition  Reporting - Resident
10111X,31230,101,7/25/2022 14:35,R03,F0136541,Est FY23 Bdgt MCCSIS Diff Tuit_101,U,125512,,,7/25/2022 14:30,OBD,2050,+,2023,Dif Tuition Revenue-Resident,Dif Tuition  Reporting - Resident
10111X,31230,101,7/25/2022 14:35,R03,F0136540,Est FY23 Bdgt PMBA Diff Tuition_101,U,125510,,,7/25/2022 14:30,OBD,123208,+,2023,Dif Tuition Revenue-Resident,Dif Tuition  Reporting - Resident
101211,31230,103,11/17/2022 19:41,CHS1,F0140034,IMBA Non-resident Tuition,U,139020,,,11/17/2022 23:59,YTD,524.34,+,2023,Revenue,Grad Non-Resid Tuition
101211,31230,103,8/30/2022 20:02,CHS1,F0137763,IMBA Non-resident Tuition,U,139020,,,8/30/2022 23:59,YTD,-1048.68,-,2023,Revenue,Grad Non-Resid Tuition
101211,31230,103,8/11/2022 19:51,CHS1,F0137116,IMBA Non-resident Tuition,U,139020,,,8/11/2022 23:59,YTD,1048.68,+,2023,Revenue,Grad Non-Resid Tuition
101211,31230,103,8/9/2022 19:54,CHS1,F0137041,IMBA Non-resident Tuition,U,139020,,,8/9/2022 23:59,YTD,-1048.68,-,2023,Revenue,Grad Non-Resid Tuition
